drug	gene
Haloperidol	CYP2C9
Haloperidol	CYP2D6
Haloperidol	CYP3A4
Haloperidol	CYP3A5
Haloperidol	CYP3A7
Haloperidol	DRD1
Haloperidol	DRD2
Haloperidol	DRD3
Haloperidol	GRIN2B
Haloperidol	HRH1
Haloperidol	HTR1A
Haloperidol	HTR2A
Haloperidol	HTR2C
Haloperidol	HTR6
Haloperidol	HTR7
Haloperidol	MCHR1
Haloperidol	SIGMAR1
Haloperidol	SLC18A2
Haloperidol	UGT1A9
Halothane	ALB
Halothane	ATP2B1
Halothane	CYP2A6
Halothane	CYP2B6
Halothane	CYP2C9
Halothane	CYP2E1
Halothane	CYP3A4
Halothane	GABRA1
Halothane	GLRA1
Halothane	GNG2
Halothane	GRIN2A
Halothane	GRIN3A
Halothane	GRIN3B
Halothane	KCNJ3
Halothane	KCNJ6
Halothane	KCNK3
Halothane	KCNK9
Halothane	KCNMA1
Halothane	KCNN4
Halothane	MT-ND1
Halothane	NPSR1
Halothane	RHO
Heparin	F10
Heparin	FGF1
Heparin	FGF19
Heparin	FGF2
Heparin	FGF4
Heparin	FGFR1
Heparin	FGFR2
Heparin	FGFR4
Heparin	HGF
Heparin	HPSE
Heparin	PF4
Heparin	SELP
Heparin	SERPINA7
Heparin	SERPINC1
Hesperidin	AURKB
Hexachlorophene	ESR1
Hexachlorophene	GLUD1
Hexachlorophene	SDHD
Hexafluronium	BCHE
Hexocyclium	CHRM1
Hexocyclium	CHRM2
Hexocyclium	CHRM3
Hexocyclium	CHRM4
Hexylcaine	SCN10A
Hexylcaine	SCN5A
Hexylresorcinol	TGM2
Hexylresorcinol	TOP1
Hexylresorcinol	TYR
Histamine	HNMT
Histamine	HRH1
Histamine	HRH2
Histamine	HRH3
Histamine	HRH4
Histamine	SLC18A2
Histamine	SLC22A1
Histamine	SLC22A2
Histamine	SLC22A3
Histamine	SLC22A5
Histrelin	GNRHR
Homatropine	CES1
Homatropine	CHRM1
Homatropine	CHRM2
Homatropine	CHRM3
Homatropine	CHRM4
Homatropine	CHRM5
Homatropine methylbromide	CHRM1
Homatropine methylbromide	CHRM2
Homatropine methylbromide	CHRM3
Homatropine methylbromide	CHRM4
Homatropine methylbromide	CHRM5
Homosalate	AR
Homosalate	ESR1
Homosalate	PGR
Human C1-esterase inhibitor	C1R
Human C1-esterase inhibitor	C1S
Human C1-esterase inhibitor	F11
Human C1-esterase inhibitor	F12
Human C1-esterase inhibitor	F2
Human C1-esterase inhibitor	KLKB1
Human C1-esterase inhibitor	PLAT
Human calcitonin	ACTN1
Human calcitonin	ANPEP
Human calcitonin	NAGLU
Human calcitonin	PGM1
Human immunoglobulin G	C3
Human immunoglobulin G	C4A
Human immunoglobulin G	C4B
Human immunoglobulin G	C5
Human immunoglobulin G	FCGR1A
Human immunoglobulin G	FCGR1B
Human immunoglobulin G	FCGR2A
Human immunoglobulin G	FCGR2B
Human immunoglobulin G	FCGR2C
Human immunoglobulin G	FCGR3A
Human immunoglobulin G	FCGR3B
Human interferon beta	ALB
Human interferon beta	CYP1A2
Human interferon beta	IFNAR1
Human Rho(D) immune globulin	RHD
Human thrombin	F11
Human thrombin	F13A1
Human thrombin	F13B
Human thrombin	F5
Human thrombin	F8
Human thrombin	FGA
Human thrombin	FGB
Human thrombin	FGG
Huperzine A	ACHE
Hyaluronic acid	ABCC5
Hyaluronic acid	C1QBP
Hyaluronic acid	CD44
Hyaluronic acid	CEMIP2
Hyaluronic acid	HABP2
Hyaluronic acid	HABP4
Hyaluronic acid	HAPLN1
Hyaluronic acid	HAPLN3
Hyaluronic acid	HMMR
Hyaluronic acid	ICAM1
Hyaluronic acid	IMPG2
Hyaluronic acid	LAYN
Hyaluronic acid	LYVE1
Hyaluronic acid	NCAN
Hyaluronic acid	STAB2
Hyaluronic acid	TNFAIP6
Hyaluronic acid	VCAN
Hyaluronidase (human recombinant)	TGFB1
Hyaluronidase (ovine)	ALB
Hyaluronidase (ovine)	TGFB1
Hyaluronidase	TGFB1
Hydralazine	ALB
Hydralazine	AOC3
Hydralazine	CYP3A4
Hydralazine	HIF1A
Hydralazine	P4HA1
Hydrochlorothiazide	ABCC4
Hydrochlorothiazide	ALB
Hydrochlorothiazide	KCNMA1
Hydrochlorothiazide	SLC12A3
Hydrochlorothiazide	SLC22A11
Hydrochlorothiazide	SLC22A6
Hydrochlorothiazide	SLC22A8
Hydrocodone	CYP2B6
Hydrocodone	CYP2C19
Hydrocodone	CYP2D6
Hydrocodone	CYP3A4
Hydrocodone	OPRD1
Hydrocodone	OPRM1
Hydrocodone	SIGMAR1
Hydrocortamate	CYP3A4
Hydrocortamate	NR3C1
Hydrocortisone	ABCB1
Hydrocortisone acetate	ABCB1
Hydrocortisone acetate	ABCG2
Hydrocortisone acetate	ANXA1
Hydrocortisone acetate	CYP11B1
Hydrocortisone acetate	CYP11B2
Hydrocortisone acetate	CYP2C8
Hydrocortisone acetate	CYP3A4
Hydrocortisone acetate	CYP3A5
Hydrocortisone acetate	CYP3A7
Hydrocortisone acetate	HSD11B2
Hydrocortisone acetate	HSD3B1
Hydrocortisone acetate	NR3C1
Hydrocortisone acetate	SERPINA6
Hydrocortisone acetate	SHBG
Hydrocortisone acetate	SLC22A8
Hydrocortisone acetate	SLCO1A2
Hydrocortisone	AKR1D1
Hydrocortisone	ANXA1
Hydrocortisone butyrate	ABCB1
Hydrocortisone butyrate	ABCG2
Hydrocortisone butyrate	ANXA1
Hydrocortisone butyrate	CYP11B1
Hydrocortisone butyrate	CYP11B2
Hydrocortisone butyrate	CYP2C8
Hydrocortisone butyrate	CYP3A4
Hydrocortisone butyrate	CYP3A5
Hydrocortisone butyrate	CYP3A7
Hydrocortisone butyrate	HSD11B2
Hydrocortisone butyrate	HSD3B1
Hydrocortisone butyrate	NR3C1
Hydrocortisone butyrate	SERPINA6
Hydrocortisone butyrate	SHBG
Hydrocortisone butyrate	SLC22A8
Hydrocortisone butyrate	SLCO1A2
Hydrocortisone	CYP11B1
Hydrocortisone	CYP11B2
Hydrocortisone	CYP1B1
Hydrocortisone	CYP2A6
Hydrocortisone	CYP2B6
Hydrocortisone	CYP2C19
Hydrocortisone	CYP2C8
Hydrocortisone	CYP2C9
Hydrocortisone	CYP3A4
Hydrocortisone	CYP3A5
Hydrocortisone	CYP3A7
Hydrocortisone cypionate	ABCB1
Hydrocortisone cypionate	ABCG2
Hydrocortisone cypionate	ANXA1
Hydrocortisone cypionate	CYP2C8
Hydrocortisone cypionate	CYP3A4
Hydrocortisone cypionate	CYP3A5
Hydrocortisone cypionate	CYP3A7
Hydrocortisone cypionate	HSD11B2
Hydrocortisone cypionate	HSD3B1
Hydrocortisone cypionate	NR3C1
Hydrocortisone cypionate	SERPINA6
Hydrocortisone cypionate	SHBG
Hydrocortisone cypionate	SLC22A8
Hydrocortisone cypionate	SLCO1A2
Hydrocortisone	HSD11B1
Hydrocortisone	HSD11B2
Hydrocortisone	NR3C1
Hydrocortisone phosphate	ABCB1
Hydrocortisone phosphate	ABCG2
Hydrocortisone phosphate	ANXA1
Hydrocortisone phosphate	CYP2C8
Hydrocortisone phosphate	CYP3A4
Hydrocortisone phosphate	CYP3A5
Hydrocortisone phosphate	CYP3A7
Hydrocortisone phosphate	HSD11B2
Hydrocortisone phosphate	HSD3B1
Hydrocortisone phosphate	NR3C1
Hydrocortisone phosphate	SERPINA6
Hydrocortisone phosphate	SHBG
Hydrocortisone phosphate	SLC22A8
Hydrocortisone phosphate	SLCO1A2
Hydrocortisone probutate	ABCB1
Hydrocortisone probutate	ABCG2
Hydrocortisone probutate	ANXA1
Hydrocortisone probutate	CYP11B1
Hydrocortisone probutate	CYP11B2
Hydrocortisone probutate	CYP2C8
Hydrocortisone probutate	CYP3A4
Hydrocortisone probutate	CYP3A5
Hydrocortisone probutate	CYP3A7
Hydrocortisone probutate	HSD11B2
Hydrocortisone probutate	HSD3B1
Hydrocortisone probutate	NR3C1
Hydrocortisone probutate	SERPINA6
Hydrocortisone probutate	SHBG
Hydrocortisone probutate	SLC22A8
Hydrocortisone probutate	SLCO1A2
Hydrocortisone	SERPINA6
Hydrocortisone	SHBG
Hydrocortisone	SLC22A8
Hydrocortisone	SLCO1A2
Hydrocortisone	SRD5A2
Hydrocortisone succinate	CYP11B1
Hydrocortisone succinate	CYP11B2
Hydrocortisone succinate	CYP2C8
Hydrocortisone succinate	CYP3A4
Hydrocortisone valerate	ABCB1
Hydrocortisone valerate	ABCG2
Hydrocortisone valerate	ANXA1
Hydrocortisone valerate	CYP11B1
Hydrocortisone valerate	CYP11B2
Hydrocortisone valerate	CYP2C8
Hydrocortisone valerate	CYP3A4
Hydrocortisone valerate	CYP3A5
Hydrocortisone valerate	CYP3A7
Hydrocortisone valerate	HSD11B2
Hydrocortisone valerate	HSD3B1
Hydrocortisone valerate	NR3C1
Hydrocortisone valerate	SERPINA6
Hydrocortisone valerate	SHBG
Hydrocortisone valerate	SLC22A8
Hydrocortisone valerate	SLCO1A2
Hydroflumethiazide	ALB
Hydroflumethiazide	ATP1A1
Hydroflumethiazide	CA1
Hydroflumethiazide	CA12
Hydroflumethiazide	CA2
Hydroflumethiazide	CA4
Hydroflumethiazide	CA7
Hydroflumethiazide	CA9
Hydroflumethiazide	KCNMA1
Hydroflumethiazide	SLC12A1
Hydroflumethiazide	SLC22A6
Hydroflumethiazide	SLC22A8
Hydrogen peroxide	ALPPL2
Hydrogen peroxide	CAT
Hydrogen peroxide	GPX1
Hydromorphone	ALB
Hydromorphone	CYP2C9
Hydromorphone	OPRD1
Hydromorphone	OPRK1
Hydromorphone	OPRM1
Hydromorphone	UGT1A3
Hydromorphone	UGT2B7
Hydroquinone	ALB
Hydroquinone	TYR
Hydroxocobalamin	AMN
Hydroxocobalamin	CUBN
Hydroxocobalamin	MMAA
Hydroxocobalamin	MMACHC
Hydroxocobalamin	MTR
Hydroxocobalamin	MUT
Hydroxocobalamin	TCN1
Hydroxocobalamin	TCN2
Hydroxychloroquine	ABCB1
Hydroxychloroquine	ACE2
Hydroxychloroquine	ALB
Hydroxychloroquine	CYP2C8
Hydroxychloroquine	CYP2D6
Hydroxychloroquine	CYP3A4
Hydroxychloroquine	ORM1
Hydroxychloroquine	SLCO1A2
Hydroxychloroquine	TLR7
Hydroxychloroquine	TLR9
Hydroxyprogesterone caproate	CYP2C19
Hydroxyprogesterone caproate	CYP3A4
Hydroxyprogesterone caproate	CYP3A5
Hydroxyprogesterone caproate	PGR
Hydroxyurea	CYP2D6
Hydroxyurea	RRM1
Hydroxyzine	ABCB1
Hydroxyzine	ALB
Hydroxyzine	CYP2D6
Hydroxyzine	CYP3A4
Hydroxyzine	CYP3A5
Hydroxyzine	HRH1
Hydroxyzine	KCNH2
Hyoscyamine	ADCY1
Hyoscyamine	CHRM1
Hyoscyamine	CHRM2
Hyoscyamine	CHRM3
Hyoscyamine	CHRM4
Hypromellose	EPCAM
Ibalizumab	CCR5
Ibalizumab	CD4
Ibalizumab	CXCR4
Ibandronate	FDPS
Ibandronate	GGPS1
Ibrexafungerp	ABCB1
Ibrexafungerp	ALB
Ibrexafungerp	CYP2C8
Ibrexafungerp	CYP3A4
Ibrexafungerp	SLCO1B3
Ibrexafungerp	SULT2A1
Ibrexafungerp	UGT1A1
Ibritumomab tiuxetan	MS4A1
Ibrutinib	ALB
Ibrutinib	BTK
Ibrutinib	CYP2D6
Ibrutinib	CYP3A4
Ibrutinib	CYP3A5
Ibrutinib	ORM1
Ibuprofen	ABCB1
Ibuprofen	ABCC1
Ibuprofen	ABCC4
Ibuprofen	ALB
Ibuprofen	AMACR
Ibuprofen	BCL2
Ibuprofen	CFTR
Ibuprofen	CYP2C19
Ibuprofen	CYP2C8
Ibuprofen	CYP2C9
Ibuprofen	CYP3A4
Ibuprofen	FABP2
Ibuprofen	GP1BA
Ibuprofen	PPARA
Ibuprofen	PPARG
Ibuprofen	PTGS1
Ibuprofen	PTGS2
Ibuprofen	S100A7
Ibuprofen	SLC22A11
Ibuprofen	SLC22A6
Ibuprofen	SLC22A8
Ibuprofen	SLCO1A2
Ibuprofen	SLCO2B1
Ibuprofen	THBD
Ibuprofen	UGT1A3
Ibuprofen	UGT1A9
Ibuprofen	UGT2B4
Ibuprofen	UGT2B7
Ibutilide	CACNA1C
Ibutilide	CACNA2D1
Ibutilide	CACNB1
Ibutilide	CACNG1
Ibutilide	KCNH2
Ibutilide	KCNH6
Ibutilide	KCNH7
Ibutilide	KCNJ11
Ibutilide	KCNK1
Ibutilide	KCNK6
Icatibant	ANPEP
Icatibant	BDKRB2
Icodextrin	AMY2A
Icosapent	ACSL4
Icosapent	ALB
Icosapent	FABP7
Icosapent	FADS1
Icosapent	FFAR1
Icosapent	PPARA
Icosapent	PPARD
Icosapent	PPARG
Icosapent	PTGS1
Icosapent	PTGS2
Icosapent	SLC8A1
Icosapent	TRPV1
Idarubicin	ABCC1
Idarubicin	CYP2C9
Idarubicin	CYP2D6
Idarubicin	TOP2A
Idecabtagene vicleucel	TNFRSF17
Idelalisib	ABCB1
Idelalisib	ABCG2
Idelalisib	AOX1
Idelalisib	CYP2B6
Idelalisib	CYP2C19
Idelalisib	CYP2C8
Idelalisib	CYP3A4
Idelalisib	CYP3A43
Idelalisib	CYP3A5
Idelalisib	CYP3A7
Idelalisib	PIK3CD
Idelalisib	SLCO1B1
Idelalisib	SLCO1B3
Idelalisib	UGT1A4
Idursulfase	PLIN3
Ifosfamide	CYP2A6
Ifosfamide	CYP2B6
Ifosfamide	CYP2C18
Ifosfamide	CYP2C19
Ifosfamide	CYP2C8
Ifosfamide	CYP2C9
Ifosfamide	CYP3A4
Ifosfamide	CYP3A5
Ifosfamide	NR1I2
Ifosfamide	PTGS1
Iloperidone	ADRA1A
Iloperidone	ADRA2C
Iloperidone	CYP2D6
Iloperidone	CYP2E1
Iloperidone	CYP3A4
Iloperidone	CYP3A5
Iloperidone	CYP3A7
Iloperidone	DRD1
Iloperidone	DRD2
Iloperidone	DRD3
Iloperidone	DRD4
Iloperidone	HRH1
Iloperidone	HTR1A
Iloperidone	HTR2A
Iloperidone	HTR6
Iloperidone	HTR7
Iloprost	PDE4A
Iloprost	PDE4B
Iloprost	PDE4C
Iloprost	PDE4D
Iloprost	PLAT
Iloprost	PTGDR2
Iloprost	PTGER1
Iloprost	PTGIR
Iloprost	SLCO2A1
Iloprost	SLCO2B1
Iloprost	SLCO3A1
Imatinib	ABCA3
Imatinib	ABCB1
Imatinib	ABCB11
Imatinib	ABCG2
Imatinib	ABL1
Imatinib	ALB
Imatinib	BCR
Imatinib	CSF1R
Imatinib	CYP1A2
Imatinib	CYP2C19
Imatinib	CYP2C8
Imatinib	CYP2C9
Imatinib	CYP2D6
Imatinib	CYP3A4
Imatinib	CYP3A5
Imatinib	CYP3A7
Imatinib	DDR1
Imatinib	KIT
Imatinib	NTRK1
Imatinib	ORM1
Imatinib	PDGFRA
Imatinib	PDGFRB
Imatinib	PTGS1
Imatinib	RET
Imatinib	SLC22A1
Imatinib	SLC22A2
Imipenem	DPEP1
Imipramine	ABCB1
Imipramine	ADRA1A
Imipramine	ADRA1B
Imipramine	ADRA1D
Imipramine	ALB
Imipramine	CHRM1
Imipramine	CHRM2
Imipramine	CHRM3
Imipramine	CHRM4
Imipramine	CHRM5
Imipramine	CYP1A2
Imipramine	CYP2B6
Imipramine	CYP2C18
Imipramine	CYP2C19
Imipramine	CYP2D6
Imipramine	CYP2E1
Imipramine	CYP3A4
Imipramine	CYP3A7
Imipramine	DRD1
Imipramine	DRD2
Imipramine	HRH1
Imipramine	HTR1A
Imipramine	HTR2A
Imipramine	HTR2C
Imipramine	HTR6
Imipramine	HTR7
Imipramine	KCND2
Imipramine	KCND3
Imipramine	KCNH1
Imipramine	KCNH2
Imipramine	ORM1
Imipramine	ORM2
Imipramine	SLC22A2
Imipramine	SLC22A3
Imipramine	SLC22A4
Imipramine	SLC6A2
Imipramine	SLC6A3
Imipramine	SLC6A4
Imiquimod	CYP3A4
Imiquimod	TLR7
Imiquimod	TLR8
Imlifidase	IGHG1
Inclisiran	PCSK9
Indacaterol	ABCB1
Indacaterol	ADRB2
Indacaterol	CYP3A4
Indacaterol	UGT1A1
Indapamide	ALB
Indapamide	CYP3A4
Indapamide	EPHX1
Indapamide	ORM1
Indapamide	SLC12A3
Indecainide	SCN5A
Indigotindisulfonic acid	ADRA1A
Indigotindisulfonic acid	AHR
Indinavir	ABCB1
Indinavir	ABCB11
Indinavir	ABCC1
Indinavir	ABCC2
Indinavir	CYP2D6
Indinavir	CYP3A4
Indinavir	CYP3A5
Indinavir	CYP3A7
Indinavir	SLC22A1
Indinavir	SLCO1A2
Indinavir	SLCO1B1
Indinavir	SLCO2B1
Indinavir	UGT1A1
Indocyanine green acid form	ABCB11
Indocyanine green acid form	ABCC2
Indocyanine green acid form	IDH1
Indomethacin	ABCB1
Indomethacin	ABCB11
Indomethacin	ABCC1
Indomethacin	ABCC11
Indomethacin	ABCC2
Indomethacin	ABCC3
Indomethacin	ABCC4
Indomethacin	ABCC6
Indomethacin	AKR1C3
Indomethacin	ALB
Indomethacin	CES1
Indomethacin	CYP2C19
Indomethacin	CYP2C9
Indomethacin	EIF2AK2
Indomethacin	GLO1
Indomethacin	PLA2G2A
Indomethacin	PPARA
Indomethacin	PPARG
Indomethacin	PTGDR2
Indomethacin	PTGR2
Indomethacin	PTGS1
Indomethacin	PTGS2
Indomethacin	SLC10A1
Indomethacin	SLC22A11
Indomethacin	SLC22A6
Indomethacin	SLC22A7
Indomethacin	SLC22A8
Indomethacin	SLCO1A2
Indomethacin	SLCO1B1
Indomethacin	UGT1A1
Indomethacin	UGT1A9
Indomethacin	UGT2B7
Indoramin	ADRA1A
Inebilizumab	CD19
Infigratinib	ABCB1
Infigratinib	ABCB11
Infigratinib	ABCG2
Infigratinib	APOA1
Infigratinib	CYP3A4
Infigratinib	FGFR1
Infigratinib	FGFR2
Infigratinib	FGFR3
Infigratinib	FGFR4
Infigratinib	FMO3
Infigratinib	SLC22A1
Infigratinib	SLC22A2
Infigratinib	SLC47A1
Infigratinib	SLC47A2
Infigratinib	SLCO1B1
Infigratinib	SLCO1B3
Infliximab	TNF
Ingenol mebutate	PRKCA
Ingenol mebutate	PRKCD
Inositol nicotinate	ATP5B
Inositol nicotinate	DGAT2
Inositol nicotinate	HCAR2
Inositol nicotinate	HCAR3
Inositol nicotinate	SLC5A8
Inositol	SLC5A3
Inotuzumab ozogamicin	ABCB1
Inotuzumab ozogamicin	CD22
Insulin aspart	CYP1A2
Insulin aspart	IGF1R
Insulin aspart	INSR
Insulin beef	CYP1A2
Insulin beef	IDE
Insulin beef	IGF1R
Insulin beef	INSR
Insulin degludec	ALB
Insulin degludec	CYP1A2
Insulin degludec	IGF1R
Insulin degludec	INSR
Insulin detemir	ALB
Insulin detemir	CYP1A2
Insulin detemir	IGF1R
Insulin detemir	INSR
Insulin glargine	CYP1A2
Insulin glargine	IGF1R
Insulin glargine	INSR
Insulin glulisine	CYP1A2
Insulin glulisine	IGF1R
Insulin glulisine	INSR
Insulin human	CPE
Insulin human	CYP1A2
Insulin human	IDE
Insulin human	IGF1R
Insulin human	IGFBP7
Insulin human	INSR
Insulin human	LRP2
Insulin human	NOV
Insulin human	PCSK1
Insulin human	PCSK2
Insulin lispro	CYP1A2
Insulin lispro	IDE
Insulin lispro	IGF1R
Insulin lispro	INSR
Insulin pork	CYP1A2
Insulin pork	IDE
Insulin pork	IGF1R
Insulin pork	INSR
Interferon alfa-2a	CYP1A2
Interferon alfa-2a	IFNAR1
Interferon alfa-2a	IFNAR2
Interferon alfa-2b	CYP1A2
Interferon alfa-2b	IFNAR1
Interferon alfa-2b	IFNAR2
Interferon alfacon-1	CYP1A2
Interferon alfacon-1	IFNAR1
Interferon alfacon-1	IFNAR2
Interferon alfa-n1	CYP1A2
Interferon alfa-n1	IFNAR1
Interferon alfa-n1	IFNAR2
Interferon alfa-n3	CYP1A2
Interferon alfa-n3	IFNAR1
Interferon alfa-n3	IFNAR2
Interferon beta-1a	CYP1A2
Interferon beta-1a	IFNAR1
Interferon beta-1a	IFNAR2
Interferon beta-1b	CYP1A2
Interferon beta-1b	IFNAR1
Interferon beta-1b	IFNAR2
Interferon gamma-1b	CYP1A2
Interferon gamma-1b	IFNGR1
Interferon gamma-1b	IFNGR2
Iobenguane	SLC6A2
Iobenguane sulfate I-123	SLC6A2
Iodine	ALB
Iodine	SLC26A4
Iodine	SLC5A5
Iodine	TG
Iodine	TPO
Iodipamide	ALB
Ioflupane I-123	SLC6A3
Iopodic acid	ALB
Iopodic acid	DIO3
Ipecac	CYP2D6
Ipecac	CYP3A4
Ipilimumab	CTLA4
Ipratropium	ALB
Ipratropium	CHRM1
Ipratropium	CHRM2
Ipratropium	CHRM3
Ipratropium	ORM1
Ipratropium	SLC22A4
Ipratropium	SLC22A5
Irbesartan	AGTR1
Irbesartan	ALB
Irbesartan	CYP2C8
Irbesartan	CYP2C9
Irbesartan	CYP3A4
Irbesartan	JUN
Irbesartan	ORM1
Irbesartan	PTGS1
Irbesartan	UGT1A3
Irinotecan	ABCB1
Irinotecan	ABCC1
Irinotecan	ABCC2
Irinotecan	ABCG2
Irinotecan	ALB
Irinotecan	BCHE
Irinotecan	CES1
Irinotecan	CES2
Irinotecan	CYP2B6
Irinotecan	CYP3A4
Irinotecan	CYP3A5
Irinotecan	CYP3A7
Irinotecan	SLC22A3
Irinotecan	SLCO1B1
Irinotecan	TOP1
Irinotecan	TOP1MT
Irinotecan	UGT1A1
Irinotecan	UGT1A9
Iron	AHSP
Iron	CP
Iron Dextran	FTH1
Iron Dextran	FTL
Iron Dextran	HBA1
Iron Dextran	HBB
Iron Dextran	TF
Iron	EGLN1
Iron	FEN1
Iron	FTH1
Iron	FXN
Iron	HBA1
Iron	HDAC8
Iron	NEIL1
Iron	NEIL2
Iron	POLB
Iron	TF
Iron	TFRC
Isatuximab	CD38
Isavuconazole	ABCB1
Isavuconazole	ABCG2
Isavuconazole	CACNA1C
Isavuconazole	CYP2B6
Isavuconazole	CYP2C19
Isavuconazole	CYP2C8
Isavuconazole	CYP2C9
Isavuconazole	CYP2D6
Isavuconazole	CYP3A4
Isavuconazole	CYP3A5
Isavuconazole	KCNA5
Isavuconazole	KCND3
Isavuconazole	KCNH2
Isavuconazole	KCNJ11
Isavuconazole	KCNJ6
Isavuconazole	KCNJ9
Isavuconazole	KCNQ1
Isavuconazole	SCN5A
Isavuconazole	SLC22A2
Isavuconazole	UGT1A8
Isavuconazole	UGT1A9
Isavuconazonium	ABCB1
Isavuconazonium	CYP3A4
Isocarboxazid	MAOA
Isocarboxazid	MAOB
Isoetharine	ADRB1
Isoetharine	ADRB2
Isoflurane	ALB
Isoflurane	ATP2C1
Isoflurane	ATP5D
Isoflurane	CALM1
Isoflurane	CHRNA4
Isoflurane	CHRNB2
Isoflurane	CYP2B6
Isoflurane	CYP2E1
Isoflurane	GABRA1
Isoflurane	GLRA1
Isoflurane	GRIA1
Isoflurane	KCNA1
Isoflurane	MT-ND1
Isoflurophate	ACHE
Isoflurophate	ALB
Isoflurophate	BCHE
Isoflurophate	TF
Isometheptene	ADRA1A
Isometheptene	SLC18A2
Isoniazid	ALB
Isoniazid	CYP1A2
Isoniazid	CYP2A6
Isoniazid	CYP2C19
Isoniazid	CYP2C8
Isoniazid	CYP2C9
Isoniazid	CYP2D6
Isoniazid	CYP2E1
Isoniazid	CYP3A4
Isoniazid	NAT2
Isoprenaline	ADRB1
Isoprenaline	ADRB2
Isoprenaline	ADRB3
Isoprenaline	ALB
Isoprenaline	COMT
Isoprenaline	CYP1A1
Isoprenaline	CYP1B1
Isoprenaline	SOD1
Isopropamide	CHRM3
Isopropamide	CHRM4
Isosorbide dinitrate	CYP2E1
Isosorbide dinitrate	NPR1
Isosorbide	GUCY1A1
Isosorbide mononitrate	ADH5
Isosorbide mononitrate	GSTM1
Isosorbide mononitrate	GUCY1A2
Isosorbide mononitrate	XDH
Isotretinoin	ALB
Isotretinoin	CYP3A4
Isotretinoin	RARA
Isotretinoin	RARG
Isradipine	ABCB11
Isradipine	CACNA1C
Isradipine	CACNA1D
Isradipine	CACNA1H
Isradipine	CACNA1S
Isradipine	CACNA2D1
Isradipine	CACNA2D2
Isradipine	CACNB2
Isradipine	CYP3A4
Istradefylline	ABCB1
Istradefylline	ABCG2
Istradefylline	ADORA1
Istradefylline	ADORA2A
Istradefylline	ALB
Istradefylline	CYP1A1
Istradefylline	CYP1A2
Istradefylline	CYP2B6
Istradefylline	CYP2C18
Istradefylline	CYP2C8
Istradefylline	CYP2C9
Istradefylline	CYP2D6
Istradefylline	CYP3A4
Istradefylline	CYP3A5
Istradefylline	ORM1
Istradefylline	POU2F2
Istradefylline	SLC22A6
Istradefylline	SLC47A1
Istradefylline	SLC47A2
Istradefylline	SLCO1B1
Istradefylline	SLCO1B3
Itraconazole	ABCB1
Itraconazole	CYP1A1
Itraconazole	CYP2B6
Itraconazole	CYP2E1
Itraconazole	CYP3A4
Itraconazole	CYP3A5
Itraconazole	CYP3A7
Itraconazole	CYP51A1
Itraconazole	SLCO2B1
Ivabradine	CYP3A4
Ivabradine	HCN2
Ivacaftor	ABCB1
Ivacaftor	ALB
Ivacaftor	CFTR
Ivacaftor	CYP3A4
Ivacaftor	CYP3A5
Ivacaftor	ORM1
Ivermectin	ABCB1
Ivermectin	ABCC1
Ivermectin	ABCC2
Ivermectin	ABCG2
Ivermectin	CYP2D6
Ivermectin	CYP2E1
Ivermectin	CYP3A4
Ivermectin	SLCO1B1
Ivermectin	SLCO1B3
Ivosidenib	ABCB1
Ivosidenib	CYP2B6
Ivosidenib	CYP2C8
Ivosidenib	CYP2C9
Ivosidenib	CYP3A4
Ivosidenib	IDH1
Ivosidenib	SLC22A8
Ixabepilone	ABCB1
Ixabepilone	CYP3A4
Ixabepilone	TUBB3
Ixazomib	CYP1A2
Ixazomib	CYP2B6
Ixazomib	CYP2C19
Ixazomib	CYP2C8
Ixazomib	CYP2C9
Ixazomib	CYP2D6
Ixazomib	CYP3A4
Ixekizumab	IL17A
Kappadione	F10
Kappadione	F2
Kappadione	F7
Kappadione	F9
Kappadione	GGCX
Kappadione	POR
Kappadione	PROC
Kappadione	PROS1
Kappadione	VKORC1
Ketamine	BCHE
Ketamine	CHRM1
Ketamine	CHRNA7
Ketamine	CYP2B6
Ketamine	CYP2C8
Ketamine	CYP2C9
Ketamine	CYP3A4
Ketamine	DRD2
Ketamine	GRIN3A
Ketamine	HTR1A
Ketamine	HTR2A
Ketamine	HTR3A
Ketamine	NOS1
Ketamine	OPRD1
Ketamine	OPRK1
Ketamine	OPRM1
Ketamine	PTGS1
Ketamine	SLC6A2
Ketamine	TACR1
Ketazolam	ABCB1
Ketazolam	ALB
Ketazolam	CYP3A4
Ketazolam	GABRA1
Ketoconazole	ABCB1
Ketoconazole	ABCB11
Ketoconazole	ALB
Ketoconazole	AR
Ketoconazole	CYP11B1
Ketoconazole	CYP17A1
Ketoconazole	CYP19A1
Ketoconazole	CYP1A1
Ketoconazole	CYP1A2
Ketoconazole	CYP1B1
Ketoconazole	CYP21A2
Ketoconazole	CYP2A6
Ketoconazole	CYP2B6
Ketoconazole	CYP2C19
Ketoconazole	CYP2C8
Ketoconazole	CYP2C9
Ketoconazole	CYP2D6
Ketoconazole	CYP3A4
Ketoconazole	CYP3A5
Ketoconazole	CYP4F12
Ketoconazole	CYP4F2
Ketoconazole	KCNH2
Ketoconazole	NR1I2
Ketoconazole	NR1I3
Ketoconazole	SHBG
Ketoconazole	SLCO1B1
Ketoconazole	UGT1A1
Ketoconazole	UGT1A7
Ketoconazole	UGT2B7
Ketoprofen	ABCC4
Ketoprofen	ALB
